# X2 (y-model)  G=360  L=j/G  depth=30 cap=20000
# j i kill comps lambda maxoutdeg verdict
121 51 -1 3 1.0000 1 CYCLE
121 52 -1 3 1.0000 1 CYCLE
121 53 -1 3 1.0000 1 CYCLE
121 54 -1 3 1.0000 1 CYCLE
121 55 -1 3 1.0000 1 CYCLE
121 56 -1 3 1.0000 1 CYCLE
121 57 -1 3 1.0000 1 CYCLE
121 58 -1 3 1.0000 1 CYCLE
121 59 -1 3 1.0000 1 CYCLE
121 60 -1 3 1.0000 1 CYCLE
121 61 -1 3 1.0000 1 CYCLE
121 62 -1 3 1.0000 1 CYCLE
121 63 -1 3 1.0000 1 CYCLE
121 64 -1 3 1.0000 1 CYCLE
121 65 -1 3 1.0000 1 CYCLE
121 66 -1 3 1.0000 1 CYCLE
121 67 -1 3 1.0000 1 CYCLE
121 68 -1 3 1.0000 1 CYCLE
121 69 -1 3 1.0000 1 CYCLE
121 70 -1 3 1.0000 1 CYCLE
121 71 -1 3 1.0000 1 CYCLE
121 72 -1 3 1.0000 1 CYCLE
121 73 -1 3 1.0000 1 CYCLE
121 74 -1 3 1.0000 1 CYCLE
121 75 -1 71 1.1004 2 FAT
121 76 -1 94 1.1073 2 FAT
121 77 -1 8 1.0000 1 CYCLE
121 78 -1 8 1.0000 1 CYCLE
121 79 -1 95 1.1129 2 FAT
121 80 -1 5 1.0000 1 CYCLE
121 81 -1 5 1.0000 1 CYCLE
121 82 -1 5 1.0000 1 CYCLE
121 83 -1 5 1.0000 1 CYCLE
121 84 -1 5 1.0000 1 CYCLE
121 85 -1 5 1.0000 1 CYCLE
121 86 -1 5 1.0000 1 CYCLE
121 87 -1 5 1.0000 1 CYCLE
121 88 -1 60 1.0889 2 FAT
121 89 -1 48 1.0756 2 FAT
121 90 -1 7 1.0000 1 CYCLE
121 91 -1 7 1.0000 1 CYCLE
121 92 -1 14 1.0000 1 CYCLE
121 93 -1 61 1.0919 2 FAT
121 94 -1 44 1.0659 2 FAT
121 95 -1 151 1.1422 2 FAT
121 96 -1 31 1.0365 2 FAT
121 97 -1 2 1.0000 1 CYCLE
121 98 -1 2 1.0000 1 CYCLE
121 99 -1 2 1.0000 1 CYCLE
121 100 -1 2 1.0000 1 CYCLE
121 101 -1 2 1.0000 1 CYCLE
121 102 -1 2 1.0000 1 CYCLE
121 103 -1 2 1.0000 1 CYCLE
121 104 -1 2 1.0000 1 CYCLE
121 105 -1 2 1.0000 1 CYCLE
121 106 -1 2 1.0000 1 CYCLE
121 107 -1 2 1.0000 1 CYCLE
121 108 -1 2 1.0000 1 CYCLE
121 109 -1 2 1.0000 1 CYCLE
121 110 -1 2 1.0000 1 CYCLE
121 111 -1 2 1.0000 1 CYCLE
121 112 -1 2 1.0000 1 CYCLE
121 113 -1 2 1.0000 1 CYCLE
121 114 -1 2 1.0000 1 CYCLE
121 115 -1 2 1.0000 1 CYCLE
121 116 -1 2 1.0000 1 CYCLE
121 117 -1 2 1.0000 1 CYCLE
121 118 -1 2 1.0000 1 CYCLE
121 119 -1 2 1.0000 1 CYCLE
121 120 -1 2 1.0000 1 CYCLE
